circuit_fault_analysis/ssa2670-130,82,327
circuit_fault_analysis/ssa2670-141,91,377
bmc-ibm-2/bmc-ibm-2,119,573
mrpp/mrpp_4x4#4_4,208,1538
aes/aes_64_1_keyfind_1,320,2088
circuit_fault_analysis/bf0432-007,473,2038
aes/aes_32_3_keyfind_2,450,2204
mrpp/mrpp_4x4#4_5,309,2517
mrpp/mrpp_4x4#6_5,330,2721
inductive-inference/ii32e3,284,4974
cmu-bmc/cmu-bmc-barrel6,602,4533
inductive-inference/ii32d2,367,5116
aes/aes_24_4_keyfind_2,320,5424
aes/aes_24_4_keyfind_4,320,5424
bmc-ibm-2/bmc-ibm-7,860,4797
bitverification/minor032,751,5130
bitverification/countbitsrotate016,1122,4555
bmc-ibm-2/bmc-ibm-5,1068,6042
mrpp/mrpp_4x4#8_8,717,6773
bitverification/smulo016,1459,6288
inductive-inference/ii32a1,370,9123
AProVE/AProVE07-03,1317,7448
combinationalequivalencecheck/sat_prob_83,1759,8012
bitverification/countbitssrl016,1691,8378
cmu-bmc/cmu-bmc-longmult15,1731,9791
bitverification/countbitsarray02_32,2202,9416
bitverification/mulhs016,2589,10400
bitverification/minxorminand032,1751,13938
AProVE/AProVE07-08,2481,12625
combinationalequivalencecheck/sat_prob_3,2860,13998
hwmcc/g2-hwmcc15deep-6s399b02-k02,3394,14336
hwmcc/g2-hwmcc15deep-6s399b03-k02,3516,14837
